wid	startWindow	stopWindow	windowSize	geneSize	groupGenes
606	6	12	6	7	['AT1G10170', 'AT3G55330', 'AT1G07510', 'AT4G35770', 'AT5G42070', 'AT3G24590', 'AT2G37230']
12015	12	27	15	6	['AT5G02160', 'AT5G13120', 'AT4G04020', 'AT5G15250', 'AT3G15110', 'AT2G41330']
23014	23	37	14	4	['AT1G15820', 'AT1G15140', 'AT3G57680', 'AT2G43010']
3706	37	43	6	7	['AT2G29500', 'AT2G20260', 'AT1G03160', 'AT3G08920', 'AT1G67700', 'AT1G02560', 'AT1G16880']
29010	29	39	10	4	['AT1G52220', 'AT4G16155', 'AT2G35040', 'AT1G22450']
2305	23	28	5	14	['AT1G29920', 'AT1G15140', 'AT2G42975', 'AT4G13010', 'AT1G07510', 'AT1G15820', 'AT2G24020', 'AT1G50250', 'AT3G22690', 'AT2G40760', 'AT3G57680', 'AT5G12470', 'AT2G43010', 'AT3G24590']
3403	34	37	3	6	['AT1G29920', 'AT1G23740', 'AT4G20820', 'AT1G42960', 'AT3G22690', 'AT1G06690']
6014	6	20	14	4	['AT2G18790', 'AT1G80380', 'AT4G33010', 'AT2G29180']
604	6	10	4	28	['AT2G17630', 'AT3G10470', 'AT5G02160', 'AT4G27700', 'AT3G26580', 'AT4G39960', 'AT4G24750', 'AT3G10130', 'AT2G20270', 'AT1G66670', 'AT2G40100', 'AT2G27290', 'AT5G23890', 'AT1G17850', 'AT5G42765', 'AT4G18370', 'AT5G03455', 'AT1G67280', 'AT1G80030', 'AT4G23890', 'AT2G30950', 'AT5G20140', 'AT1G55370', 'AT1G52220', 'AT1G76760', 'AT1G12250', 'AT4G04020', 'AT5G15250']
207	2	9	7	8	['AT1G29920', 'AT1G10170', 'AT4G20820', 'AT3G22690', 'AT2G40760', 'AT5G42070', 'AT3G57680', 'AT2G37230']
1103	11	14	3	4	['AT1G44575', 'AT1G79040', 'AT3G56040', 'AT1G03600']
5011	5	16	11	4	['AT1G80030', 'AT1G12250', 'AT5G03455', 'AT1G55370']
3305	33	38	5	20	['AT2G01918', 'AT3G10130', 'AT5G02160', 'AT5G13120', 'AT5G62720', 'AT3G10470', 'AT1G27510', 'AT1G54050', 'AT4G01050', 'AT4G39960', 'AT5G15250', 'AT5G42765', 'AT1G67280', 'AT3G15110', 'AT3G26580', 'AT5G52780', 'AT2G27290', 'AT4G01900', 'AT1G31180', 'AT1G17850']
15010	15	25	10	4	['AT5G62720', 'AT2G01918', 'AT1G18730', 'AT1G54050']
3605	36	41	5	9	['AT1G10170', 'AT1G66670', 'AT1G54050', 'AT1G18730', 'AT5G42070', 'AT4G23890', 'AT1G72640', 'AT5G03455', 'AT1G14590']
2909	29	38	9	10	['AT3G10470', 'AT3G10130', 'AT5G13120', 'AT4G39960', 'AT1G67280', 'AT3G15110', 'AT3G26580', 'AT2G27290', 'AT1G31180', 'AT1G17850']
303	3	6	3	18	['AT5G19500', 'AT4G16155', 'AT4G13010', 'AT3G28850', 'AT1G75690', 'AT3G60370', 'AT3G58010', 'AT4G38380', 'AT2G22360', 'AT1G51110', 'AT5G16150', 'AT1G51350', 'AT5G59250', 'AT1G22450', 'AT3G15840', 'AT1G56500', 'AT1G22020', 'AT1G50250']
4005	40	45	5	11	['AT2G29500', 'AT5G08540', 'AT1G03160', 'AT3G08920', 'AT1G67700', 'AT2G44990', 'AT1G14345', 'AT1G02560', 'AT1G56500', 'AT5G01500', 'AT2G20260']
