parent	child
1004f	1006b
4603e	4505
3804a	3805a
3804a	3705
704a	706
704a	605a
2104b	1807a
2104b	2105b
2104b	2105d
2104b	2005b
4103	4004
4103	4105a
4103	4004a
4104	4105b
4104	4005a
4105	4006
4105	4106
4105	4106a
4105	3907e
4106	4107
4106	4007
4107	4009a
4108	4109a
4108	4009
4108	4109b
4109	39011b
3009a	28011a
3009a	30010a
12012a	11013
12012a	9015
12012a	12013
21011a	17015
21011a	21012
16012a	15013
4404a	4405a
4404a	4206
3703b	3704
3703b	3505a
4404b	4305b
4404b	4305a
4404b	4406a
3010a	1012
106h	109a
2004a	2006
2004a	1509a
2103	2004c
2103	2104c
2104	1609a
2104	2105
2105	2107b
2105	1808
2107	18010
2107	21012a
106e	108b
106e	107a
2109	21010
2109	17013
106g	108c
106f	107d
2404g	2405a
2404g	2405b
2404g	16012
2404g	2305d
2404g	2305b
2404f	2406
2404e	2306
2707d	27010
2404b	24011
2404b	2305c
35011b	33013
35011b	35014
35011c	32014
35011c	35015a
1010a	1012b
1303b	1204c
1303b	1305a
3308a	3209c
103i	104b
103i	105a
907a	709a
907a	9013
4105a	4108
4105a	4109
4105a	4006c
4105a	4006b
1607b	1508c
1607b	1608
1607a	1609a
1607a	1609b
1607a	1508a
4018	4020
4018	1021
508a	2011a
39010	39011
39010	34015
3606a	3608a
3606a	3507c
104	105
105	106b
3704a	3605a
3704a	3506c
3704a	3705
4203	4104
4203	4204b
4206	4107
4206	4207a
3303a	3204
3303a	3304
4208	40010a
103b	104
3906b	35010
3906b	35010a
3906b	3907c
3906b	3907b
3906a	3908
103a	104c
103a	104e
36010a	35011a
1703a	1704a
1703a	1604a
804b	705
804b	805c
37012	36013
37012	37013
37013	36014
37013	35015a
2203	1807
2203	2207
2203	2204c
2203	2104a
3505b	3506
3505b	3208a
2206	2207b
3305c	3207b
2208	2209
2208	2109
2209	21010
2209	22010
607c	508b
607c	1012a
607c	608c
2306a	2207b
2306b	2307
2306b	2207a
1203	1204d
1203	906
24010a	24014
8011a	6013
8011a	8020
1609a	16012a
1609a	15010b
204b	105b
204b	205d
204a	205b
204a	105
1503b	1504c
1503b	1404a
1708a	1609
1708a	17010a
35012	35015
35012	33014
5011a	5012
35014	33016
35015	33017
1807a	18010
203	206b
203	204b
203	104e
203	104d
203	205
204	205a
204	105d
204	205e
205	2011
206	207c
206	107
206	208
206	107d
207	108c
207	209b
208	109
208	209c
4306	4307a
4306	39010b
3105a	3108d
3105a	23013
108a	1010
3109b	27013
4305a	4307b
6018a	6020
6018a	3021
2903a	2904
2903b	2705b
2903b	2904a
1508	12011
1508	15013a
2803b	2506a
2803b	2806a
2803c	2704a
2803c	2804
33010	32011
33010	33012
33011	33013a
33011	15029
4205a	4106
4205a	4206
33014	33017
33014	32015
206a	207e
206a	107a
2303	2305
2303	2204d
2303	2305d
2303	2204
2304	2205b
2304	2306b
2305	2308a
2305	2107b
2307	14016a
2308	2209
3603b	3605a
3603b	3504b
14011a	14012
14011a	12013
2908a	26011b
2908a	29012
2908a	26011
2908a	29021
2908b	29010a
2908b	27010
2908b	23014
1509	15010
3705a	3507d
3705a	3709a
4104a	4005
4104a	4105
4006c	3907
4006c	4009
27012	27013
4006a	3808b
4006a	4007a
4006a	32014b
2004c	17010
2004c	2005a
31010	29021
1104a	1105a
1104a	609a
2004b	19014
31016	31018
3804	3507
3804	3805
6011	3014
6011	6015a
1603c	1604
1603c	1504d
1603b	1505
3903b	17026
303	304
303	105c
304	106h
304	307
306	3014
306	207c
4403	4404a
4403	4205a
4404	38010
4405	4406b
4405	4207
4406	4208a
3807	3808b
1704a	1605
1704a	1706b
1704a	1706a
1704a	1605a
3109a	31010a
3109a	30010a
2408a	22010
2408a	2409
1403a	1205b
1403a	1406
106a	1010a
106a	107c
28011a	26013
28011a	28014
29012	23018
29012	29017
29014	29017a
29014	28015
29017	26020
29017	29021b
209a	1010
2403	2404b
2403	2304a
2404	2108a
2405	2406b
2406	2307b
2406	2407b
2409	22011
22012a	21014
405	207a
27011	27016
27011	26012
31010c	31016
31010c	29012
31010b	15026
31010b	31011a
31010a	31011
12012	11013a
12012	12014a
4503	4504
2404d	2206b
2404d	2409a
404	4012
404	305
404	107c
207e	209a
207e	108a
406	208
4504	4108
