wid	startWindow	stopWindow	windowSize	geneSize	groupGenes
4404	44	48	4	4	['AT1G12250', 'AT2G29500', 'AT5G01500', 'AT1G14345']
11023	11	34	23	6	['AT3G10130', 'AT1G10170', 'AT3G22690', 'AT2G40760', 'AT5G42070', 'AT1G06690']
4105	41	46	5	19	['AT1G15820', 'AT2G35040', 'AT1G55370', 'AT4G13010', 'AT2G20270', 'AT2G24020', 'AT1G50250', 'AT3G60370', 'AT5G52970', 'AT3G58010', 'AT4G38380', 'AT1G74710', 'AT5G16150', 'AT5G19500', 'AT5G16660', 'AT3G15110', 'AT5G21430', 'AT2G42975', 'AT1G15140']
19026	19	45	26	7	['AT3G10130', 'AT4G01050', 'AT4G39960', 'AT1G67280', 'AT3G26580', 'AT2G27290', 'AT1G17850']
3205	32	37	5	10	['AT2G01918', 'AT5G20140', 'AT5G02160', 'AT3G10470', 'AT2G30950', 'AT4G18370', 'AT4G04020', 'AT5G15250', 'AT3G01440', 'AT5G52780']
2203	22	25	3	29	['AT2G17630', 'AT2G40400', 'AT1G14150', 'AT2G18790', 'AT1G02560', 'AT2G29500', 'AT1G03160', 'AT5G42270', 'AT1G14345', 'AT1G80030', 'AT1G56500', 'AT2G30695', 'AT1G67700', 'AT1G03090', 'AT1G80380', 'AT4G33010', 'AT5G01500', 'AT5G08540', 'AT5G19370', 'AT2G30950', 'AT2G20260', 'AT3G08920', 'AT1G76760', 'AT1G12250', 'AT5G03455', 'AT2G44990', 'AT2G41330', 'AT2G29180', 'AT2G26800']
1005	10	15	5	4	['AT1G03160', 'AT2G20260', 'AT3G15110', 'AT2G37660']
2104	21	25	4	13	['AT3G55330', 'AT1G52220', 'AT2G24020', 'AT1G15820', 'AT3G60370', 'AT1G07510', 'AT1G50250', 'AT2G22360', 'AT2G43010', 'AT5G52970', 'AT4G39730', 'AT3G15360', 'AT3G24590']
1209	12	21	9	9	['AT2G42220', 'AT5G19500', 'AT4G39460', 'AT1G22020', 'AT3G58010', 'AT4G38380', 'AT3G25480', 'AT5G16660', 'AT5G12470']
8027	8	35	27	4	['AT2G40760', 'AT5G42070', 'AT1G10170', 'AT3G22690']
1006	10	16	6	13	['AT1G29920', 'AT3G10130', 'AT1G23740', 'AT1G10170', 'AT4G20820', 'AT3G10470', 'AT3G22690', 'AT2G40760', 'AT5G42070', 'AT3G57680', 'AT2G37230', 'AT4G39730', 'AT3G24590']
1204	12	16	4	4	['AT1G44575', 'AT1G79040', 'AT3G56040', 'AT1G03600']
24019	24	43	19	5	['AT4G20820', 'AT1G29920', 'AT3G57680', 'AT2G43010', 'AT3G15360']
206	2	8	6	6	['AT2G20260', 'AT5G13120', 'AT1G54050', 'AT1G02560', 'AT1G14345', 'AT2G26800']
3103	31	34	3	18	['AT2G17630', 'AT3G08920', 'AT2G29500', 'AT2G30695', 'AT2G20260', 'AT1G03160', 'AT5G62720', 'AT1G27510', 'AT2G37660', 'AT1G14150', 'AT2G40100', 'AT1G03090', 'AT2G44990', 'AT3G47060', 'AT5G35170', 'AT4G23890', 'AT4G37925', 'AT1G02560']
3809	38	47	9	9	['AT2G35040', 'AT2G42975', 'AT4G13010', 'AT5G52970', 'AT3G60370', 'AT3G58010', 'AT5G16150', 'AT5G19500', 'AT5G16660']
39010	39	49	10	5	['AT1G75690', 'AT1G51350', 'AT3G46780', 'AT4G16155', 'AT1G52220']
3607	36	43	7	8	['AT3G46780', 'AT4G16155', 'AT1G52220', 'AT1G22020', 'AT2G22360', 'AT1G51350', 'AT3G15840', 'AT1G50460']
1023	1	24	23	5	['AT2G17630', 'AT5G39830', 'AT2G30950', 'AT5G19370', 'AT5G01500']
3204	32	36	4	5	['AT1G67700', 'AT2G18790', 'AT1G16880', 'AT1G14345', 'AT2G29180']
909	9	18	9	6	['AT3G28850', 'AT1G75690', 'AT1G51350', 'AT5G59250', 'AT1G22450', 'AT1G56500']
904	9	13	4	7	['AT1G20810', 'AT2G37400', 'AT1G21750', 'AT1G78915', 'AT1G54580', 'AT1G65260', 'AT2G21160']
4012	4	16	12	8	['AT2G17630', 'AT5G39830', 'AT2G30950', 'AT1G55370', 'AT1G76760', 'AT5G19370', 'AT5G15250', 'AT5G01500']
304	3	7	4	10	['AT1G23740', 'AT1G79450', 'AT3G53560', 'AT4G24750', 'AT5G53490', 'AT1G54790', 'AT4G24930', 'AT1G14590', 'AT1G05385', 'AT4G01900']
3604	36	40	4	12	['AT2G01918', 'AT5G20140', 'AT5G02160', 'AT3G10470', 'AT1G76760', 'AT1G27510', 'AT4G18370', 'AT4G04020', 'AT5G15250', 'AT2G30950', 'AT5G52780', 'AT1G18730']
15030	15	45	30	4	['AT2G24020', 'AT1G15820', 'AT3G24590', 'AT1G07510']
3012	3	15	12	10	['AT4G13670', 'AT3G55330', 'AT2G20270', 'AT4G35770', 'AT1G07510', 'AT1G52220', 'AT1G15820', 'AT5G52970', 'AT5G21430', 'AT1G17850']
3106	31	37	6	4	['AT1G03090', 'AT1G02560', 'AT1G03160', 'AT2G37660']
