wid	geneSize
606	7
12015	6
23014	4
3706	7
29010	4
2305	14
3403	6
6014	4
604	28
207	8
1103	4
5011	4
3305	20
15010	4
3605	9
2909	10
303	18
4005	11
3803	8
2207	4
40010	4
1804	17
809	15
27011	8
32018	9
3304	41
304	17
106	5
204	20
2309	6
3303	14
3904	15
108	4
708	7
103	5
4203	53
3305a	19
6025	6
1409	31
3405	16
506	5
4405	34
38011	28
4503	13
2204	14
4105	14
4109	8
29017	9
1203	8
12011	5
14016	14
24010	5
3907	10
1406	39
10014	9
12014	17
3003	4
2603	13
2207a	10
2704	20
103a	27
4024	5
2703	18
3207	12
3008	13
509	11
29021	4
36010	11
4604	4
1703	9
1508	6
22011	13
907	6
13014	4
8020	7
2306	4
3608	4
604a	21
6024	7
4604a	4
3207a	9
1703a	56
4404	8
1004	9
3907a	18
2209	16
3105	7
207a	4
2104	14
26011	7
19015	5
1803	5
4703	10
103b	8
4404a	12
803	35
1505	8
608	4
403	4
2206	7
6022	6
2303	27
35015	7
11010	9
1004a	7
204a	6
37012	20
4504	12
3406	10
2906	17
2704a	8
107	6
20015	4
17014	6
1603	29
605	23
2003	4
28011	7
2306a	7
1403	8
3908	7
104	6
403a	15
607	5
1706	7
4307	5
12011a	21
32015	4
3906	6
3104	15
406	7
3308	12
2205	4
3205	40
4305	6
2303a	4
2903	6
1005	5
31016	5
2803	6
9017	13
2903a	7
2203	35
3203	25
3506	17
1103a	33
4109a	6
32010	5
2908	5
4207	30
904	30
1207	4
4012	7
504	10
38010	6
14015	9
1205	5
10014a	4
4106	9
4005a	15
504a	23
3305b	5
2908a	16
3409	6
3010	8
9011	18
1205a	6
607a	11
406a	17
7012	5
24014	5
207b	7
3409a	9
3103	15
706	8
2105	13
10013	10
306	7
805	4
2304	14
32014	10
205	8
2905	15
24011	6
1504	10
709	4
29021a	5
21011	5
26020	8
35011	4
2708	12
28015	6
3407	10
2032	4
33011	9
1508a	8
5010	5
3209	6
1206	6
37010	6
606a	11
3204	41
1609	12
4208	6
3103a	10
2404	5
3108	9
2206a	6
24013	5
3804	8
804	10
907a	12
25013	4
1903	7
6015	6
203	32
3506a	12
2307	9
3905	36
3605a	17
33014	7
1303	4
3607	7
3607a	15
22010	14
3209a	8
2203a	8
4406	8
2003a	15
2304a	13
3404	17
1204	14
3507	6
2303b	6
1705	24
14017	12
3505	7
608a	5
1604	5
508	10
3503	6
3105a	13
3209b	5
4103	22
4006	9
35010	4
4603	57
2406	20
3709	23
1605	5
404	10
2604	9
5017	8
108a	5
1504a	4
204b	14
15017	11
603	5
104a	22
2105a	13
3606	16
109	4
4004	13
3011	7
4307a	13
109a	4
2605	11
904a	5
1606	4
1805	5
11013	6
21011a	13
15016	4
4307b	4
