wid	windowSize
606	6
12015	15
23014	14
3706	6
29010	10
2305	5
3403	3
6014	14
604	4
207	7
1103	3
5011	11
3305	5
15010	10
3605	5
2909	9
303	3
4005	5
3803	3
2207	7
40010	10
1804	4
809	9
27011	11
32018	18
3304	4
304	4
106	6
204	4
2309	9
3303	3
3904	4
108	8
708	8
103	3
4203	3
3305a	5
6025	25
1409	9
3405	5
506	6
4405	5
38011	11
4503	3
2204	4
4105	5
4109	9
29017	17
1203	3
12011	11
14016	16
24010	10
3907	7
1406	6
10014	14
12014	14
3003	3
2603	3
2207a	7
2704	4
103a	3
4024	24
2703	3
3207	7
3008	8
509	9
29021	21
36010	10
4604	4
1703	3
1508	8
22011	11
907	7
13014	14
8020	20
2306	6
3608	8
604a	4
6024	24
4604a	4
3207a	7
1703a	3
4404	4
1004	4
3907a	7
2209	9
3105	5
207a	7
2104	4
26011	11
19015	15
1803	3
4703	3
103b	3
4404a	4
803	3
1505	5
608	8
403	3
2206	6
6022	22
2303	3
35015	15
11010	10
1004a	4
204a	4
37012	12
4504	4
3406	6
2906	6
2704a	4
107	7
20015	15
17014	14
1603	3
605	5
2003	3
28011	11
2306a	6
1403	3
3908	8
104	4
403a	3
607	7
1706	6
4307	7
12011a	11
32015	15
3906	6
3104	4
406	6
3308	8
2205	5
3205	5
4305	5
2303a	3
2903	3
1005	5
31016	16
2803	3
9017	17
2903a	3
2203	3
3203	3
3506	6
1103a	3
4109a	9
32010	10
2908	8
4207	7
904	4
1207	7
4012	12
504	4
38010	10
14015	15
1205	5
10014a	14
4106	6
4005a	5
504a	4
3305b	5
2908a	8
3409	9
3010	10
9011	11
1205a	5
607a	7
406a	6
7012	12
24014	14
207b	7
3409a	9
3103	3
706	6
2105	5
10013	13
306	6
805	5
2304	4
32014	14
205	5
2905	5
24011	11
1504	4
709	9
29021a	21
21011	11
26020	20
35011	11
2708	8
28015	15
3407	7
2032	32
33011	11
1508a	8
5010	10
3209	9
1206	6
37010	10
606a	6
3204	4
1609	9
4208	8
3103a	3
2404	4
3108	8
2206a	6
24013	13
3804	4
804	4
907a	7
25013	13
1903	3
6015	15
203	3
3506a	6
2307	7
3905	5
3605a	5
33014	14
1303	3
3607	7
3607a	7
22010	10
3209a	9
2203a	3
4406	6
2003a	3
2304a	4
3404	4
1204	4
3507	7
2303b	3
1705	5
14017	17
3505	5
608a	8
1604	4
508	8
3503	3
3105a	5
3209b	9
4103	3
4006	6
35010	10
4603	3
2406	6
3709	9
1605	5
404	4
2604	4
5017	17
108a	8
1504a	4
204b	4
15017	17
603	3
104a	4
2105a	5
3606	6
109	9
4004	4
3011	11
4307a	7
109a	9
2605	5
904a	4
1606	6
1805	5
11013	13
21011a	11
15016	16
4307b	7
3703	3
607b	7
6015a	15
26012	12
508a	8
38012	12
503	3
804a	4
2407	7
1505a	5
104b	4
706a	6
206	6
806	6
3107	7
104c	4
4018	18
608b	8
2103	3
2407a	7
1305	5
103c	3
105	5
2503	3
108b	8
17015	15
507	7
16013	13
14011	11
23023	23
4604b	4
2305a	5
2203b	3
17022	22
4403	3
4604c	4
1904	4
805a	5
806a	6
4006a	6
3303a	3
1607	7
3507a	7
2707	7
3904a	4
4703a	3
2703a	3
1004b	4
3105b	5
9026	26
3503a	3
2703b	3
5020	20
2007	7
4603a	3
28014	14
106a	6
3903	3
11016	16
2004	4
29014	14
1708	8
28011a	11
3108a	8
103d	3
808	8
4504a	4
11014	14
3504	4
8011	11
2303c	3
12026	26
3704	4
19024	24
1006	6
33013	13
15026	26
1603a	3
1106	6
2707a	7
203a	3
506a	6
7017	17
21012	12
15010a	10
1708a	8
805b	5
4009	9
105a	5
26011a	11
1805a	5
4003	3
2903b	3
24011a	11
3904b	4
3014	14
2005	5
3207b	7
3103b	3
4703b	3
3908a	8
707	7
8013	13
4503a	3
707a	7
104d	4
3309	9
14012	12
2707b	7
3305c	5
14030	30
36014	14
4104	4
9015	15
31010	10
1409a	9
12017	17
3004	4
2804	4
2408	8
14027	27
2408a	8
206a	6
